name,Region,Last Update,Confirmed,Deaths,Recovered,Date
Macau,Macau,2020-01-27 20:30:00,6,0,0,01-27-2020
Qinghai,Mainland China,2020-01-27 20:30:00,6,0,0,01-27-2020
Australia,Australia,2020-01-27 20:30:00,5,0,0,01-27-2020
Singapore,Singapore,2020-01-27 20:30:00,5,0,0,01-27-2020
Taiwan,Taiwan,2020-01-27 20:30:00,5,0,0,01-27-2020
Xinjiang Uygur,Mainland China,2020-01-27 20:30:00,5,0,0,01-27-2020
Japan,Japan,2020-01-27 20:30:00,4,0,1,01-27-2020
Malaysia,Malaysia,2020-01-27 20:30:00,4,0,0,01-27-2020
South Korea,South Korea,2020-01-27 20:30:00,4,0,0,01-27-2020
France,France,2020-01-27 20:30:00,3,0,0,01-27-2020
California,USA,2020-01-27 20:30:00 * CTY: LA 1; Orange 1,2,0,0,01-27-2020
Vietnam,Vietnam,2020-01-27 20:30:00,2,0,0,01-27-2020
Arizona,USA,2020-01-27 20:30:00,1,0,0,01-27-2020
Cambodia,Cambodia,2020-01-27 20:30:00,1,0,0,01-27-2020
Canada,Canada,2020-01-27 20:30:00,1,0,0,01-27-2020
Germany,Germany,2020-01-27 20:30:00,1,0,0,01-27-2020
Illinois,USA,2020-01-27 20:30:00,1,0,0,01-27-2020
Nepal,Nepal,2020-01-27 20:30:00,1,0,0,01-27-2020
Sri Lanka,Sri Lanka,2020-01-27 20:30:00,1,0,0,01-27-2020
Washington,USA,2020-01-27 20:30:00,1,0,0,01-27-2020
Hubei,Mainland China,2020-01-28 23:00:00,3554,125,80,01-28-2020
Zhejiang,Mainland China,2020-01-28 23:00:00,296,0,3,01-28-2020
Guangdong,Mainland China,2020-01-28 23:00:00,241,0,5,01-28-2020
Hunan,Mainland China,2020-01-28 23:00:00,221,0,0,01-28-2020
Henan,Mainland China,2020-01-28 23:00:00,206,2,1,01-28-2020
Anhui,Mainland China,2020-01-28 23:00:00,152,0,0,01-28-2020
Chongqing,Mainland China,2020-01-28 23:00:00,147,0,1,01-28-2020
Shandong,Mainland China,2020-01-28 23:00:00,121,0,0,01-28-2020
Jiangxi,Mainland China,2020-01-28 23:00:00,109,0,3,01-28-2020
Sichuan,Mainland China,2020-01-28 23:00:00,108,0,0,01-28-2020
Jiangsu,Mainland China,2020-01-28 23:00:00,99,0,1,01-28-2020
Beijing,Mainland China,2020-01-28 23:00:00,91,1,4,01-28-2020
Fujian,Mainland China,2020-01-28 23:00:00,82,0,0,01-28-2020
Shanghai,Mainland China,2020-01-28 23:00:00,80,1,4,01-28-2020
Guangxi,Mainland China,2020-01-28 23:00:00,58,0,2,01-28-2020
Shaanxi,Mainland China,2020-01-28 23:00:00,56,0,0,01-28-2020
Hebei,Mainland China,2020-01-28 23:00:00,48,1,0,01-28-2020
Yunnan,Mainland China,2020-01-28 23:00:00,44,0,0,01-28-2020
Hainan,Mainland China,2020-01-28 23:00:00,43,1,0,01-28-2020
Heilongjiang,Mainland China,2020-01-28 23:00:00,37,1,0,01-28-2020
Liaoning,Mainland China,2020-01-28 23:00:00,36,0,0,01-28-2020
Shanxi,Mainland China,2020-01-28 23:00:00,27,0,0,01-28-2020
Tianjin,Mainland China,2020-01-28 23:00:00,25,0,0,01-28-2020
Gansu,Mainland China,2020-01-28 23:00:00,24,0,0,01-28-2020
Nei Mongol,Mainland China,2020-01-28 23:00:00,16,0,0,01-28-2020
Thailand,Thailand,2020-01-28 23:00:00,14,0,5,01-28-2020
Xinjiang Uygur,Mainland China,2020-01-28 23:00:00,13,0,0,01-28-2020
Ningxia,Mainland China,2020-01-28 23:00:00,12,0,0,01-28-2020
Guizhou,Mainland China,2020-01-28 23:00:00,9,0,0,01-28-2020
Jilin,Mainland China,2020-01-28 23:00:00,9,0,0,01-28-2020
Hong Kong,Hong Kong,2020-01-28 23:00:00,8,0,0,01-28-2020
Taiwan,Taiwan,2020-01-28 23:00:00,8,0,0,01-28-2020
Japan,Japan,2020-01-28 23:00:00,7,0,1,01-28-2020
Macau,Macau,2020-01-28 23:00:00,7,0,0,01-28-2020
Malaysia,Malaysia,2020-01-28 23:00:00,7,0,0,01-28-2020
Singapore,Singapore,2020-01-28 23:00:00,7,0,0,01-28-2020
Qinghai,Mainland China,2020-01-28 23:00:00,6,0,0,01-28-2020
Australia,Australia,2020-01-28 23:00:00,5,0,0,01-28-2020
France,France,2020-01-28 23:00:00,4,0,0,01-28-2020
Germany,Germany,2020-01-28 23:00:00,4,0,0,01-28-2020
South Korea,South Korea,2020-01-28 23:00:00,4,0,0,01-28-2020
California,USA,2020-01-28 23:00:00 * CTY: LA 1; Orange 1,2,0,0,01-28-2020
Canada,Canada,2020-01-28 23:00:00,2,0,0,01-28-2020
Vietnam,Vietnam,2020-01-28 23:00:00,2,0,0,01-28-2020
Arizona,USA,2020-01-28 23:00:00,1,0,0,01-28-2020
Cambodia,Cambodia,2020-01-28 23:00:00,1,0,0,01-28-2020
Illinois,USA,2020-01-28 23:00:00,1,0,0,01-28-2020
