Confirmed,Date,Deaths,Last Update,Recovered,Region,_id,State_Name
3,1/24/2020,0,1/24/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab821,Guizhou
3,1/24/2020,0,1/24/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab822,Jilin
3,1/24/2020,0,1/24/2020 12:00,0,Singapore,5e878e8b4d6afbef43dab823,Singapore
3,1/24/2020,0,1/24/2020 12:00,0,Taiwan,5e878e8b4d6afbef43dab824,Taiwan
2,1/24/2020,0,1/24/2020 16:00,0,France,5e878e8b4d6afbef43dab825,France
2,1/24/2020,0,1/24/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab826,Gansu
2,1/24/2020,1,1/24/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab827,Hebei
2,1/24/2020,0,1/24/2020 12:00,0,Hong Kong,5e878e8b4d6afbef43dab828,Hong Kong
2,1/24/2020,0,1/24/2020 12:00,0,Japan,5e878e8b4d6afbef43dab829,Japan
2,1/24/2020,0,1/24/2020 12:00,0,Macau,5e878e8b4d6afbef43dab82a,Macau
2,1/24/2020,0,1/24/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab82b,Ningxia
2,1/24/2020,0,1/24/2020 12:00,0,South Korea,5e878e8b4d6afbef43dab82c,South Korea
2,1/24/2020,0,1/24/2020 12:00,0,Vietnam,5e878e8b4d6afbef43dab82d,Vietnam
2,1/24/2020,0,1/24/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab82e,Xinjiang Uygur
1,1/24/2020,0,1/24/2020 12:00,0,USA,5e878e8b4d6afbef43dab82f,Illinois
1,1/24/2020,0,1/24/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab830,Nei Mongol
1,1/24/2020,0,1/24/2020 12:00,0,Mainland China,5e878e8b4d6afbef43dab831,Shanxi
1,1/24/2020,0,1/24/2020 12:00,0,USA,5e878e8b4d6afbef43dab832,Washington
1052,1/25/2020,52,1/25/2020 22:00,42,Mainland China,5e878e8c4d6afbef43dab833,Hubei
104,1/25/2020,0,1/25/2020 22:00,1,Mainland China,5e878e8c4d6afbef43dab834,Zhejiang
98,1/25/2020,0,1/25/2020 12:00,2,Mainland China,5e878e8c4d6afbef43dab835,Guangdong
83,1/25/2020,1,1/25/2020 12:00,0,Mainland China,5e878e8c4d6afbef43dab836,Henan
75,1/25/2020,0,1/25/2020 12:00,0,Mainland China,5e878e8c4d6afbef43dab837,Chongqing
69,1/25/2020,0,1/25/2020 12:00,0,Mainland China,5e878e8c4d6afbef43dab838,Hunan
60,1/25/2020,0,1/25/2020 12:00,0,Mainland China,5e878e8c4d6afbef43dab839,Anhui
51,1/25/2020,0,1/25/2020 12:00,2,Mainland China,5e878e8c4d6afbef43dab83a,Beijing
44,1/25/2020,0,1/25/2020 12:00,0,Mainland China,5e878e8c4d6afbef43dab83b,Sichuan
40,1/25/2020,1,1/25/2020 12:00,1,Mainland China,5e878e8c4d6afbef43dab83c,Shanghai
39,1/25/2020,0,1/25/2020 12:00,0,Mainland China,5e878e8c4d6afbef43dab83d,Shandong
36,1/25/2020,0,1/25/2020 12:00,0,Mainland China,5e878e8c4d6afbef43dab83e,Jiangxi
33,1/25/2020,0,1/25/2020 12:00,0,Mainland China,5e878e8c4d6afbef43dab83f,Guangxi
31,1/25/2020,0,1/25/2020 12:00,1,Mainland China,5e878e8c4d6afbef43dab840,Jiangsu
19,1/25/2020,0,1/25/2020 12:00,0,Mainland China,5e878e8c4d6afbef43dab841,Hainan
19,1/25/2020,0,1/25/2020 12:00,0,Mainland China,5e878e8c4d6afbef43dab842,Liaoning
18,1/25/2020,0,1/25/2020 12:00,0,Mainland China,5e878e8c4d6afbef43dab843,Fujian
